4.0 , 349 , The Chocolate Room ,  Salads
4.5 , 842 , Molly's Cupcakes ,  Salads
4.5 , 1284 ,  Salads
4.0 , 775 , Sweet Revenge ,  Salads
4.5 , 64 , Milk Sugar Love Creamery & Bakeshop ,  Salads
5.0 , 51 , Handsome Dan's Snocone & Candy Stand ,  Salads
4.0 , 862 , ChikaLicious Dessert Bar ,  Salads
4.5 , 403 , Cannelle Patisserie ,  Salads
4.5 , 539 , Beard Papa's Cream Puffs ,  Salads
4.5 , 1294 , Wafels & Dinges ,  Salads
4.5 , 46 , Patisserie Tomoko ,  Salads
4.5 , 318 , Jacques Torres Chocolate ,  Salads
4.0 , 104 , Cookies N' Crepes ,  Salads
3.5 , 780 , Nom Wah Tea Parlor ,  Salads
3.5 , 804 , Golden Unicorn ,  Salads
4.0 , 250 , Niu Noodle House ,  Salads
3.5 , 451 , Dim Sum Go Go ,  Salads
3.5 , 374 , RedFarm ,  Salads
3.5 , 376 , Vegetarian Dim Sum House ,  Salads
3.5 , 1084 , Jing Fong Restaurant ,  Salads
3.5 , 346 , Hakkasan ,  Salads
4.0 , 150 , Chance Asian Bistro & Bar ,  Salads
3.5 , 433 , Red Egg ,  Salads
4.0 , 312 , East Harbor Seafood Palace ,  Salads
3.5 , 308 , Oriental Garden Restaurant ,  Salads
3.5 , 364 , Ping's Seafood ,  Salads
3.5 , 213 , Pacificana ,  Salads
3.5 , 292 , Hop Shing Restaurant ,  Salads
4.0 , 131 , The Bao ,  Salads
3.5 , 93 , Full House Cafe ,  Salads
4.0 , 2029 , Buddakan ,  Salads
3.5 , 143 , East Ocean Palace ,  Salads
3.0 , 35 , Good Day Seafood Restaurant ,  Salads
4.0 , 545 , Diner ,  Salads
4.5 , 471 , Tops Diner ,  Salads
4.0 , 435 , Johny's Luncheonette ,  Salads
3.5 , 699 , Brownstone Diner & Pancake Factory ,  Salads
3.5 , 215 , Coach House Restaurant ,  Salads
4.0 , 1480 , Junior's Restaurant ,  Salads
4.0 , 741 , Tom's ,  Salads
4.0 , 116 , Joe Jr. Restaurant ,  Salads
4.0 , 122 , Cup & Saucer ,  Salads
4.0 , 400 , Jimmy's Diner ,  Salads
4.5 , 111 , Family Corner Restaurant ,  Salads
4.0 , 126 , Empire Diner ,  Salads
4.0 , 525 , Shopsin's ,  Salads
3.5 , 176 , City Diner ,  Salads
3.5 , 256 , Waverly ,  Salads
4.0 , 508 , Bonnie's Grill ,  Salads
3.0 , 330 , The Diner ,  Salads
3.5 , 214 , Madison Restaurant ,  Salads
4.0 , 34 , Times Square Diner And Grill ,  Salads
4.0 , 245 , Jackson Hole ,  Salads
3.5 , 144 , Todd English Food Hall ,  Salads
5.0 , 1 , New York Institute of English and Business ,  Salads
5.0 , 1 , Happy English ,  Salads
5.0 , 1 , McCarter & English ,
3.5 , 5 , Farm To Table ,  Salads
5.0 , 40 , AWOL Eatery ,  Salads
4.0 , 591 , Blue Hill ,  Salads
4.0 , 1563 , ABC Kitchen ,  Salads
4.0 , 353 , The Green Table ,  Salads
4.0 , 359 , Print ,  Salads
4.0 , 210 , The Marshal ,  Salads
4.0 , 668 , The Farm On Adderley ,  Salads
4.0 , 114 , Foragers ,  Salads
4.0 , 183 , Monument Lane ,  Salads
4.0 , 146 , Black Tree ,  Salads
4.0 , 391 , Hearth ,  Salads
4.0 , 550 , Market Table ,  Salads
3.5 , 716 , David Burke Kitchen ,  Salads
4.0 , 51 ,  Salads
4.0 , 94 , Escape ,  Salads
3.5 , 427 , Back Forty ,  Salads
4.0 , 131 , Narcissa ,  Salads
4.0 , 413 , Riverpark ,  Salads
4.0 , 985 , Cookshop ,  Salads
4.0 , 754 , Maharlika ,  Salads
4.0 , 353 , Jeepney ,  Salads
4.0 , 145 , Philippine Bread House ,  Salads
4.5 , 50 , Papa's Kitchen ,  Salads
4.5 , 18 , Ace's Wings ,  Salads
4.0 , 247 , Grill 21 ,  Salads
4.0 , 439 , Pig And Khao ,  Salads
4.0 , 47 , Krystal's Cafe 81 ,  Salads
4.0 , 294 , Ugly Kitchen ,  Salads
4.0 , 271 , Tito Rad's Grill & Restaurant ,  Salads
4.0 , 65 , Lumpia Shack Snackbar ,  Salads
3.5 , 173 , Umi Nom ,  Salads
3.5 , 329 , Kuma Inn ,  Salads
5.0 , 12 , Sariling Atin ,  Salads
4.0 , 21 , Little Quiapo ,  Salads
3.5 , 54 , Fiesta Grill ,  Salads
3.5 , 224 , Purple Yam ,  Salads
3.5 , 139 , Max's of Manila ,  Salads
3.5 , 32 , Pan De Sal ,  Salads
4.5 , 11 , Lumpia Shack ,  Salads
4.5 , 692 ,  Salads
4.5 , 1039 , La Sirene ,  Salads
4.0 , 84 , Brasserie de Paris ,  Salads
4.0 , 218 , Madame Claude Cafe ,  Salads
4.5 , 500 , Pates Et Traditions ,  Salads
4.0 , 500 , Le Parisien ,  Salads
4.5 , 717 , Bouley ,  Salads
4.0 , 519 , Buvette ,  Salads
4.5 , 267 , Cafe Triskell ,  Salads
4.0 , 1772 , Balthazar Restaurant ,  Salads
4.5 , 394 , Taureau ,  Salads
4.0 , 594 , Le Barricou ,  Salads
4.5 , 17 , Le French Diner ,  Salads
4.5 , 135 , Cocotte ,  Salads
4.5 , 1408 , Le Bernardin ,  Salads
4.0 , 1563 , ABC Kitchen ,  Salads
4.0 , 238 , Petite Crevette ,  Salads
4.0 , 401 , Le Grainne Cafe ,  Salads
4.0 , 354 , Jadis ,  Salads
4.0 , 174 , Le P'tit Paris Bistro ,  Salads
4.5 , 464 , Cafe Katja ,  Salads
4.0 , 359 , Heidelberg Restaurant ,  Salads
4.0 , 258 , Wechsler's ,  Salads
4.0 , 169 , Reichenbach Hall ,  Salads
4.0 , 332 , Pilsener Haus & Biergarten ,  Salads
4.0 , 464 , Zum Schneider ,  Salads
4.0 , 844 , Radegast Hall and Biergarten ,  Salads
4.0 , 200 , Zum Stammtisch ,  Salads
4.0 , 114 , Max Bratwurst und Bier ,  Salads
4.5 , 75 , Nurnberger Bierhaus ,  Salads
3.5 , 115 , Schnitzel Haus ,  Salads
4.0 , 141 , Rosamunde Sausage Grill ,  Salads
3.0 , 156 , Buschenschank ,  Salads
3.5 , 459 , Zeppelin Hall Biergarten and Restaurant ,  Salads
3.5 , 240 , Lederhosen ,  Salads
3.5 , 79 , Black Forest Brooklyn ,  Salads
3.5 , 295 , Bierhaus NYC ,  Salads
3.5 , 162 ,  Salads
3.5 , 51 , Bavaria Bierhaus ,  Salads
4.0 , 143 ,  Salads
4.5 , 210 , Siggy's Good Food ,  Salads
4.0 , 302 , Friedman's ,  Salads
4.0 , 275 , Siggy's Good Food ,  Salads
4.5 , 75 , Testo ,  Salads
4.0 , 462 , L'asso ,  Salads
4.0 , 175 , Terri ,  Salads
4.5 , 23 , Everybody Eats ,  Salads
4.5 , 277 ,  Salads
4.5 , 67 , Reviver ,  Salads
4.0 , 392 , Bistango ,  Salads
4.5 , 54 ,  Salads Le Village ,
4.0 , 826 , Keste Pizza & Vino ,  Salads
4.0 , 546 , Terri ,  Salads
4.5 , 415 , Champs ,  Salads
4.5 , 86 , Mahzen Grill ,  Salads
4.0 , 574 , Rubirosa ,  Salads
4.0 , 337 , Nino's 46 ,  Salads
4.5 , 51 , Mariella ,  Salads
4.0 , 346 , The Thirsty Koala ,  Salads
4.0 , 103 , Cafe Dada ,  Salads
4.5 , 123 , The Greek ,  Salads
4.5 , 704 , Pylos ,  Salads
4.5 , 250 , Taverna Kyclades East Village ,  Salads
4.0 , 1070 , Taverna Kyclades ,  Salads
4.0 , 364 , Souvlaki GR ,  Salads
4.0 , 914 , Kefi ,  Salads
4.5 , 27 , Ethos Meze East Village ,  Salads
4.0 , 489 , Dafni Greek Taverna ,  Salads
4.0 , 1374 , ilili ,  Salads
4.0 , 781 , Extra Virgin ,  Salads
4.0 , 88 , Avlee Greek Kitchen ,  Salads
4.0 , 125 , Yefsi Estiatorio ,  Salads
4.0 , 295 , Zenon Taverna ,  Salads
4.0 , 110 , Faros Restaurant ,  Salads
4.0 , 85 , Anthi's Greek Food ,  Salads
4.0 , 420 , Avra Restaurant ,  Salads
4.0 , 173 , Okeanos ,  Salads
4.0 , 94 , Spartan Souvlaki ,  Salads
4.0 , 67 , Stefanos Mediterranean Grille ,  Salads
4.5 , 77 , Greek Town Gyros ,  Salads
4.0 , 152 , Brooklyn Fare ,  Salads
4.0 , 329 , Fairway Market ,  Salads
4.5 , 840 , Mitsuwa Marketplace ,  Salads
4.5 , 22 , Healthfully Organic Market ,  Salads
4.0 , 213 , Fairway Market ,  Salads
4.5 , 145 , Court Street Grocers ,  Salads
3.5 , 381 , FreshDirect ,  Salads
4.0 , 100 , Katagiri Japanese Grocery Store ,  Salads
4.0 , 70 , Depanneur ,  Salads
3.5 , 130 , dainobu ,  Salads
3.5 , 67 , 55 Fulton Market ,  Salads
4.5 , 23 , Parrot Coffee Grocery ,  Salads
4.0 , 158 , New Kam Man ,  Salads
4.0 , 118 , Butcher Block ,  Salads
4.5 , 16 , Oriental Pastry & Grocery ,  Salads
4.5 , 31 , A.L.C Italian Grocery ,  Salads
3.5 , 33 , Elm Health ,  Salads
4.0 , 14 , Apna Bazar Cash & Carry ,  Salads
4.0 , 56 , Compare Foods ,  Salads
3.5 , 378 , Fairway Market ,  Salads
4.5 , 15 , Le Soleil Restaurant ,  Salads
3.5 , 123 , La Caye Restaurant ,  Salads
4.0 , 102 , Saveur Creole ,  Salads
3.5 , 59 , Kombit Bar & Restaurant ,  Salads
5.0 , 11 , Le Marecage ,  Salads
4.0 , 7 , Kreyol Flavor ,  Salads
4.5 , 3 , La Tranquilite L'Impressioniste Restaurant ,  Salads
3.5 , 12 , Harlem Karibe Takeout ,  Salads
4.5 , 6 , First Republic Lounge and Restaurant ,  Salads
3.0 , 16 , Chloe's Restaurant & Lounge ,  Salads
5.0 , 6 , Cafe Kreole ,  Salads
5.0 , 1 , Nicolas Family ,  Salads
3.5 , 6 , Venus Restaurant ,  Salads
3.0 , 5 , Denise's Takeout ,  Salads
5.0 , 1 , Firtayes ,  Salads
5.0 , 1 , Your Daily Baguette ,  Salads
3.5 , 7 , Creole Buffet ,  Salads
4.0 , 36 , Le Bon Pain Bakery ,  Salads
4.5 , 5 , La Baguette Shop ,  Salads
5.0 , 2 , Pascale Bakery & Restaurant ,  Salads
4.5 , 5741 , The Halal Guys ,  Salads
4.5 , 420 , King of Falafel & Shawarma ,  Salads
4.0 , 135 , Halal Guys ,  Salads
5.0 , 23 , Honest Chops ,  Salads
4.0 , 233 , Sammy's Halal ,  Salads
4.5 , 202 , Uncle Gussy's ,  Salads
4.0 , 181 , Omar's Kitchen & Bakery ,  Salads
4.5 , 77 , King of Falafel & Shawarma ,  Salads
4.5 , 52 , The Casbah - Halal Cart ,  Salads
4.5 , 28 , Halal Cart ,  Salads
4.0 , 62 , Biryani House Cart ,  Salads
4.0 , 84 , Halal Cart ,  Salads
4.0 , 362 , Biryani Cart ,  Salads
4.5 , 43 , York and 69th Halal Cart ,  Salads
4.0 , 147 , Istanbul Kebab House ,  Salads
3.5 , 21 , The Halal Guys Restaurant ,  Salads
4.5 , 104 , La Goulette ,  Salads
4.0 , 134 , Fatima's ,  Salads
4.0 , 100 , Afghan Kebab House II ,  Salads
4.0 , 18 , Halal Paradise ,  Salads
4.0 , 88 , Onomea ,  Salads
4.0 , 227 , Tommy Bahama Restaurant & Bar - New York ,  Salads
5.0 , 6 , Brooklyn Wahines ,  Salads
3.5 , 65 , MAKANA ,  Salads
3.5 , 78 , Shaka Burrito ,  Salads
3.5 , 84 , Makana ,  Salads
4.0 , 99 , Tokyo Teriyaki ,  Salads
4.5 , 61 , Cafe Hanamizuki ,  Salads
4.0 , 513 , Hillstone Restaurant ,  Salads
3.0 , 65 , Lees Hawaiian Islander ,  Salads
4.0 , 103 , Suzume ,  Salads
4.0 , 2 , Aloha Teriyaki Grill ,  Salads
4.0 , 92 , Singas Famous Pizza ,  Salads
4.0 , 1299 , Empanada Mama ,  Salads
4.0 , 167 , Mama's Empanadas ,  Salads
4.0 , 602 , Talde ,  Salads
4.0 , 77 , Custom Fuel Pizza ,  Salads
4.5 , 209 , Empanadas Cafe ,  Salads
4.0 , 42 , Pronto Pizzeria & Restaurant ,  Salads
3.5 , 77 , Mama's Empanada's ,  Salads
4.5 , 210 , Siggy's Good Food ,  Salads
4.5 , 120 , The Picnic Basket ,  Salads
4.0 , 212 , Sweetgreen ,  Salads
4.0 , 383 , Mooncake Foods ,  Salads
4.0 , 529 , Westville ,  Salads
4.0 , 687 , Westville ,  Salads
4.5 , 101 , GreenStreets Salads ,  Salads
4.5 , 71 , Natural Blend ,  Salads
4.5 , 505 , Beyond Sushi ,  Salads
4.5 , 63 , Govinda's Vegetarian ,  Salads
4.0 , 599 , Cocoron ,  Salads
4.0 , 702 , Westville ,  Salads
4.0 , 150 , Good Health ,  Salads
4.0 , 628 , Peacefood Cafe ,  Salads
4.0 , 556 , Blossom ,  Salads
4.0 , 175 , Terri ,  Salads
4.5 , 40 , Small Peace Soup & Smoothie ,  Salads
4.5 , 67 , Reviver ,  Salads
4.5 , 47 , The Hummus & Pita Co. ,  Salads
5.0 , 24 , Jungle Cafe ,  Salads
4.0 , 1583 , Crif Dogs ,  Salads
4.0 , 906 , Gray's Papaya ,  Salads
4.5 , 69 , Boulevard Drinks ,  Salads
4.0 , 685 , Rudy's Bar & Grill ,  Salads
4.0 , 141 , Rosamunde Sausage Grill ,  Salads
4.0 , 373 , Papaya King ,  Salads
4.5 , 15 , Fulton Hot Dog King ,  Salads
4.0 , 99 , Lock Yard ,  Salads
3.5 , 279 , Crif Dogs ,  Salads
4.5 , 34 , Shake Shack ,  Salads
4.0 , 155 , Hiram's Roadstand ,  Salads
3.5 , 392 , Bark Hot Dogs ,  Salads
4.0 , 432 , Rutt's Hut ,  Salads
4.0 , 14 , Crif Dogs ,  Salads
4.5 , 20 , Dominick's Hot Dog Truck ,  Salads
3.5 , 52 , Papaya Dog ,  Salads
4.0 , 22 , Hot Dog House ,  Salads
3.5 , 657 , Nathan's Famous ,  Salads
4.5 , 38 , JJ's Hot Dog Truck ,  Salads
3.0 , 109 , Papaya Dog ,  Salads
4.5 , 173 , Bengal Tiger Indian Food ,  Salads
4.0 , 66 , Mahal Kita ,  Salads
4.0 , 270 , Pippali ,  Salads
4.5 , 48 , Mirch Masala ,  Salads
4.0 , 625 , Seva Indian Cuisine ,  Salads
4.5 , 412 , The MasalaWala ,  Salads
4.5 , 200 , Gandhi Fine Indian Cuisine ,  Salads
4.0 , 288 , Karma Kafe ,  Salads
4.0 , 272 , Malai Marke Indian Cuisine ,  Salads
4.0 , 893 , Dhaba Indian Cuisine ,  Salads
4.0 , 158 , Taj Mahal ,  Salads
4.0 , 222 , Swagat ,  Salads
4.0 , 76 , Touch Of Spice ,  Salads
4.0 , 253 , Om Restaurant ,  Salads
4.0 , 293 , Masala Times ,  Salads
4.0 , 280 , Bombay Masala ,  Salads
4.0 , 45 , Kanan Indian Restaurant ,  Salads
4.5 , 78 , Ashoka Indian Grill ,  Salads
4.0 , 261 , Namaste ,  Salads
4.5 , 68 , Dhoom Restaurant And Bar ,  Salads
3.5 , 207 , Bali Nusa Indah ,  Salads
4.0 , 113 , Selamat Pagi ,  Salads
3.5 , 143 , Kopi Kopi NYC ,  Salads
3.5 , 84 , Java Indonesian Restaurant ,  Salads
3.5 , 148 , Sanur ,  Salads
3.5 , 78 , Upi Jaya ,  Salads
3.5 , 54 , Java Village ,  Salads
3.5 , 16 , Sky Cafe ,  Salads
2.5 , 13 , Pondok Jakarta ,  Salads
4.0 , 303 , Cafe Asean ,  Salads
4.0 , 1097 , Nyonya ,  Salads
4.0 , 1 , Sky Cafe ,  Salads
4.0 , 96 , Malay Restaurant ,  Salads
3.5 , 3 , OK Indo - Kirula Enterprise ,  Salads
4.0 , 368 , Taste Good Malaysian Cuisine ,  Salads
3.5 , 20 , Asian Taste 86 ,  Salads
3.5 , 385 , Sacred Chow ,  Salads
4.5 , 15 , Daizen ,  Salads
3.0 , 42 , Noodles & Company ,  Salads
3.5 , 556 , Laut ,  Salads
4.0 , 132 , Session House ,  Salads
3.5 , 652 , Lillie's Victorian Bar & Restaurant ,  Salads
4.0 , 301 , Puck Fair ,  Salads
4.0 , 291 , Molly's ,  Salads
4.5 , 115 , Irish Rover ,  Salads
4.0 , 123 , Dublin 6 ,  Salads
4.0 , 230 , Banter Irish Bar and Kitchen ,  Salads
4.0 , 89 , Carpe Diem Pub & Restaurant ,  Salads
4.0 , 270 , Lansdowne Road ,  Salads
4.5 , 85 , The Quays Pub ,  Salads
4.0 , 77 , Molloy's Irish Pub ,  Salads
4.0 , 55 , O'hanlons ,  Salads
4.0 , 347 , The Penrose ,  Salads
4.5 , 25 , The Wild Rover Pub ,  Salads
4.0 , 98 , Peter Dillon's ,  Salads
3.5 , 239 , Donovan's Pub ,  Salads
4.0 , 142 , Iggy's Keltic Lounge ,  Salads
4.0 , 154 , The Four-Faced Liar ,  Salads
4.5 , 15 , The Harp ,  Salads
4.0 , 191 , Brooklyn Public House ,  Salads
4.5 , 449 ,  Salads
4.5 , 105 , Tutto A Modo Mio ,  Salads
4.5 , 816 , L'Artusi ,  Salads
4.5 , 108 , Pepe Rosso Social ,  Salads
4.0 , 879 , Bianca ,  Salads
4.0 , 728 , Malatesta Trattoria ,  Salads
4.5 , 197 , Piccoli Trattoria ,  Salads
4.0 , 1101 , Uva ,  Salads
4.0 , 785 , Trattoria Trecolori ,  Salads
4.0 , 574 , Rubirosa ,  Salads
4.5 , 254 , Sergimmo Salumeria ,  Salads
4.0 , 993 , Scarpetta ,  Salads
4.0 , 1408 , Carmine's ,  Salads
4.0 , 634 , La Lanterna di Vittorio ,  Salads
4.5 , 82 , Ciccio ,  Salads
4.5 , 467 , Trattoria L'incontro ,  Salads
4.5 , 151 , The Saint Austere ,  Salads
4.5 , 788 , Il Bambino ,  Salads
4.0 , 478 , Il Corallo Trattoria ,  Salads
5.0 , 40 , 15 Fox Place ,  Salads
4.0 , 72 , Yvonne's Jamaican Food Truck ,  Salads
3.5 , 163 , Christie's Jamaican Patties ,  Salads
3.5 , 56 , Jamaican Dutchy ,  Salads
4.5 , 16 , Jamaican Pride Bakery ,  Salads
3.5 , 21 , Jamaican Food Cart ,  Salads
4.0 , 38 , Jamaican Flavors ,  Salads
4.5 , 7 , Little Ochie Jamaican Cuisine ,  Salads
3.5 , 39 , C & J Jamaican Restaurant and Bakery ,  Salads
3.5 , 14 , JJ's Jamaican Restaurant ,  Salads
4.0 , 10 , Sunrise Grill Jamaican Truck ,  Salads
3.5 , 14 , Breeze's Jamaican Restaurant & Bakery ,  Salads
4.0 , 2 , Four Seasons Jamaican Restaurant ,  Salads
4.0 , 2 , Sally's Jamaican Restaurant ,  Salads
4.0 , 1 , Amette Jamaican Cafe ,  Salads
2.5 , 17 , Markie 'B' Jamaican ,  Salads
3.5 , 21 , Tropics Jamaican Restaurant ,  Salads
4.5 , 14 , Corner Style Jamaican & American ,  Salads
4.5 , 2 , Our Place Jamaican American Restaurant ,  Salads
3.5 , 2 , Bell's Jamaican Restaurant ,  Salads
5.0 , 1 , Nicky's Jamaican Cuisine ,  Salads
4.0 , 529 , Ootoya ,  Salads
4.0 , 599 , Cocoron ,  Salads
4.5 , 1049 , Sakagura ,  Salads
4.5 , 59 , Okonomi ,  Salads
4.0 , 163 , Teppan Bar & Grill ,  Salads
4.5 , 302 , Kyo Ya ,  Salads
4.0 , 642 , Sushi Yasaka ,  Salads
4.0 , 658 , Zenkichi ,  Salads
4.0 , 261 , MEW Izakaya ,  Salads
4.5 , 48 , Sushi House 21 ,  Salads
4.0 , 422 , Takashi ,  Salads
4.0 , 475 , Bozu ,  Salads
4.0 , 443 , Hakata Tonton ,  Salads
4.0 , 1063 , Sake Bar Hagi ,  Salads
4.5 , 169 , Ootoya ,  Salads
4.0 , 119 , Fukurou ,  Salads
4.0 , 806 , Yakitori Totto ,  Salads
4.5 , 37 , Mu Ramen ,  Salads
4.5 , 26 , Taiyo Foods ,  Salads
4.0 , 260 , Hibino ,  Salads
5.0 , 35 , Oasis Juice Bar ,  Salads
4.5 , 67 ,  Salads Juice Hugger Cafe ,
4.0 , 340 , Liquiteria ,  Salads
4.5 , 40 , Small Peace Soup & Smoothie ,  Salads
4.5 , 24 , Whole Green ,  Salads
4.0 , 60 , Juice Generation ,  Salads
4.5 , 45 , Summers Juice & Coffee ,  Salads
4.0 , 33 , Juice Healthy Food and Drink ,  Salads
4.5 , 72 , Veggies Natural Juice Bar ,  Salads
4.0 , 109 , Juice Generation ,  Salads
4.0 , 76 , Juice Generation ,  Salads
4.0 , 90 , Juice Generation ,  Salads
4.5 , 48 , Pearl Gate ,  Salads
4.0 , 66 , Magic Mix Juicery ,  Salads
4.0 , 546 , Terri ,  Salads
4.0 , 36 , Owl Juice Pub ,  Salads
4.0 , 50 , Juice Generation ,  Salads
4.5 , 22 , Juicery New York ,  Salads
4.5 , 23 , Jo Juice ,  Salads
4.0 , 84 , Juicy Lucy Juice Bar ,  Salads
4.0 , 369 , Kraverie ,  Salads
4.0 , 1488 , Woorijip Authentic Korean Food ,  Salads
4.0 , 280 , Kori ,  Salads
4.0 , 507 , Cho Dang Gol Korean Restaurant ,  Salads
4.5 , 211 , Jungsik ,  Salads
4.5 , 35 , Dotory ,  Salads
4.0 , 236 , Kimchi Grill ,  Salads
4.0 , 279 , Sik Gaek ,  Salads
4.0 , 261 , Barn Joo ,  Salads
4.0 , 50 , Little Dokebi ,  Salads
4.0 , 82 , New York Kimchi ,  Salads
4.0 , 502 , Danji ,  Salads
4.0 , 214 , Natural Tofu Restaurant ,  Salads
4.0 , 117 , mokbar ,  Salads
3.5 , 37 , SSAM ,  Salads
4.0 , 510 , BCD Tofu House ,  Salads
3.5 , 75 , 232 ,  Salads
4.5 , 50 , Kinjo ,  Salads
3.5 , 154 , Moim ,  Salads
3.5 , 84 , Chicken Factory ,  Salads
4.5 , 201 , Nish Nush ,  Salads
4.0 , 183 , Sapthagiri Taste Of India ,  Salads
4.0 , 556 , Blossom ,  Salads
4.5 , 67 , Grill 212 ,  Salads
4.0 , 333 , Quintessence ,  Salads
3.5 , 385 , Sacred Chow ,  Salads
4.0 , 28 , Mason & Mug ,  Salads
4.0 , 182 , Maoz Vegetarian ,  Salads
4.0 , 131 , Vegetarian Ginger ,  Salads
4.0 , 185 , Candle Cafe West ,  Salads
3.5 , 402 , Hummus Kitchen ,  Salads
3.5 , 122 , Kulushkat Gourmet Falafel ,  Salads
4.0 , 237 , Hummus Kitchen ,  Salads
4.5 , 33 , Marani ,  Salads
4.5 , 47 , Stix Kosher Restaurant ,  Salads
4.0 , 94 , Cheburechnaya ,  Salads
3.5 , 23 , Chagall Bistro ,  Salads
4.0 , 126 , Pahal Zan Kosher Falafel ,  Salads
3.5 , 78 , Amsterdam Burger Co ,  Salads
3.5 , 224 , Ben's Kosher Delicatessen Restaurant & Caterers ,  Salads
4.5 , 638 , Blue Ribbon Brasserie ,  Salads
4.5 , 5741 , The Halal Guys ,  Salads
4.5 , 209 , Sunny and Annie's ,  Salads
4.0 , 1299 , Empanada Mama ,  Salads
4.0 , 795 , Employees Only ,  Salads
4.5 , 1655 , Mamoun's Falafel ,  Salads
4.0 , 2556 , Artichoke Basille's Pizza ,  Salads
4.0 , 458 , Coppelia ,  Salads
4.0 , 335 , Creperie ,  Salads
4.0 , 1177 , Corner Bistro ,  Salads
4.0 , 296 , The Dead Rabbit ,  Salads
4.0 , 890 , Sanford's Restaurant ,  Salads
4.0 , 328 , Fat Buddha ,  Salads
3.5 , 384 , Black Swan ,  Salads
3.5 , 1869 , Cafeteria ,  Salads
4.0 , 292 , Ward III ,  Salads
3.5 , 654 , Great NY Noodle Town ,  Salads
4.0 , 715 , Cask Bar + Kitchen ,  Salads
4.5 , 111 , Dil-e Punjab Deli ,  Salads
4.0 , 92 , Altas Horas ,  Salads
4.0 , 364 ,  Salads
4.0 , 571 , Yerba Buena ,  Salads
4.0 , 1060 , Yuca Bar & Restaurant ,  Salads
4.0 , 1202 , Bogota Latin Bistro ,  Salads
4.0 , 211 , La Pulperia ,  Salads
4.0 , 393 , The Cuban Restaurant and Bar ,  Salads
4.0 , 2039 , Caracas Arepa Bar ,  Salads
4.0 , 141 , Pio Pio Riko ,  Salads
4.0 , 1542 , Calle Ocho ,  Salads
4.0 , 541 , Caracas Arepa Bar ,  Salads
3.5 , 212 , Cucharamama ,  Salads
4.0 , 158 , Puerto Viejo ,  Salads
5.0 , 37 , Patacon Pisao ,  Salads
4.0 , 203 , Surfish Peruvian Bistro ,  Salads
4.0 , 292 , Cabana Restaurant ,  Salads
4.0 , 1299 , Empanada Mama ,  Salads
4.0 , 351 , El Almacen ,  Salads
4.0 , 464 , Pio Pio ,  Salads
4.0 , 51 , El Sabroso ,  Salads
4.0 , 160 , Casa Adela ,  Salads
4.0 , 1374 , ilili ,  Salads
4.0 , 148 , Almayass ,  Salads
4.5 , 304 , Wafa's ,  Salads
4.5 , 54 , Ali's Restaurant ,  Salads
4.0 , 219 , Naya Mezze and Grill ,  Salads
4.0 , 165 , Karam ,  Salads
4.0 , 435 , Tanoreen ,  Salads
4.0 , 48 , Mama Ghanoush ,  Salads
4.0 , 78 , Byblos Restaurant ,  Salads
4.0 , 57 , Souk El Shater ,  Salads
3.5 , 191 , Alfanoose Middle Eastern Restaurant ,  Salads
4.0 , 143 , Uncle Momo ,  Salads
4.5 , 63 , Cedars Meat House ,  Salads
4.5 , 8 , Rose's Lebanese Cuisine ,  Salads
3.0 , 56 , Tripoli ,  Salads
4.0 , 29 , ilili Box ,  Salads
3.5 , 34 , Naya Express ,  Salads
4.5 , 7 , The Golden Pita ,  Salads
3.5 , 48 , La'Mezza Restaurant ,  Salads
3.5 , 242 , Balade ,  Salads
4.0 , 85 , Anthi's Greek Food ,  Salads
4.0 , 108 , Homemade Taqueria ,  Salads
4.0 , 144 ,  Salads Jack's Sliders & Sushi ,
4.5 , 86 , Homemade Taqueria ,  Salads
4.0 , 48 ,  Salads Jersey Meatball Co ,
4.0 , 48 , Oui Oui ,  Salads
3.5 , 151 ,  Salads Latin Cabana ,
4.0 , 52 ,  Salads Nanking Restaurant ,
2.5 , 274 ,  Salads Little Town ,
4.5 , 36 ,  Salads Cinar Turkish Restaurant ,
2.5 , 100 , BarKogi ,  Salads
4.0 , 161 ,  Salads The Wood Pit BBQ ,
4.0 , 33 , Oishi Bay ,  Salads
3.5 , 92 , Mottsu ,  Salads
4.0 , 24 , Rowena's Delight and Cakehouse ,  Salads
3.5 , 118 ,  Salads Chatni ,
4.0 , 32 ,  Salads Fusion Grill ,
3.0 , 398 , Big Daddy's ,  Salads
3.5 , 18 , Ah Woo Rang ,  Salads
4.5 , 88 , Fran's Italian Deli ,  Salads
4.0 , 1097 , Nyonya ,  Salads
4.0 , 368 , Taste Good Malaysian Cuisine ,  Salads
3.5 , 271 , Satay Malaysian Cuisine ,  Salads
4.5 , 22 , Love Mamak ,  Salads
4.0 , 102 , House of Malaysia ,  Salads
3.5 , 52 , Pasar Malam ,  Salads
3.5 , 364 , New Malaysia ,  Salads
4.0 , 303 , Cafe Asean ,  Salads
4.0 , 118 , Rasa ,  Salads
3.5 , 146 , Malaysia Grill ,  Salads
3.5 , 556 , Laut ,  Salads
4.0 , 96 , Malay Restaurant ,  Salads
3.0 , 170 , Nyonya ,  Salads
3.0 , 157 , Nyonya Malaysia Cuisine ,  Salads
3.5 , 348 , Sentosa Malaysian Cuisine ,  Salads
3.5 , 62 , Redang Island ,  Salads
3.5 , 100 , Curry Leaves ,  Salads
3.5 , 14 , West New Malaysia Restaurant ,  Salads
