TURCO MEDITERRANEAN GRILL,10036,Mediterranean,6466785050
LA BELLEZZA PIZZERIA,10007,Pizza,2122273337
REGENCY WHIST CLUB,10065,American ,2127341734
POURING RIBBONS,10009,American ,9176566788
A&E Networks,10017,Café/Coffee/Tea,2128576313
LASAGNA RESTAURANT,10022,Italian,2123085353
HOPS HILL,11238,Delicatessen,3479874334
SUBWAY,10027,Sandwiches,6466844497
New NYC Yoan Ming Garden,10029,Chinese,2124269545
RUSSIA VODKA ROOM,10019,Russian,2123075835
New NYC Yoan Ming Garden,10029,Chinese,2124269545
HARPER COLLINS,10007,American ,9176238875
DIRTY FRENCH,10002,French,2122543000
MP TAVERNA,11105,Greek,7187772187
MUSCLE MAKER GRILL,10007,American ,2128621813
LIT LOUNGE NYC,10003,American ,2127777987
LIT LOUNGE NYC,10003,American ,2127777987
BEL AMI,10065,French,2127371313
JFK SHAWARMA MIDDLE EASTERN CUISINE & BAKERY,11420,Middle Eastern,7186591100
J & C SEAFOOD,11412,Seafood,7184546247
DOMINO'S PIZZA,10460,Pizza,7185424993
COMPLETE BODY & SPA,10022,American ,2127777703
BENJAMIN,10016,American ,2128890750
Yorganic/Caffe Bene,10018,Café/Coffee/Tea,7184405850
DOMINO'S PIZZA,10460,Pizza,7185424993
HANA SUSHI,11209,Japanese,7182384513
PAUL & JIMMY'S RESTAURANT,10003,Italian,2124759540
PAUL & JIMMY'S RESTAURANT,10003,Italian,2124759540
JOHN'S PIZZA,11420,Pizza,7188436121
BENJAMIN,10016,American ,2128890750
CHELSEA SQUARE RESTAURANT,10011,American ,2126915400
HEALTHY EATS,10001,"Juice, Smoothies, Fruit Salads",2129671653
TAQUERIA RESTAURANTE MI BARIO,11218,Mexican,7189729669
IGGY'S,10021,American ,2123273043
TORTAS DON PACOS,10035,Mexican,2128760700
Yorganic/Caffe Bene,10018,Café/Coffee/Tea,7184405850
THE HILLS RESTAURANT AND BAR,11203,Caribbean,7188565501
MCDONALD'S,10023,Hamburgers,2127240435
STUDIO 151,10009,Other,6469432816
NEW TAK LUCK RESTAURANT,11205,Chinese,7186243837
FRAMES BOWLING LOUNGE,10018,American ,2122686909
LA NUEVA VEGA,11237,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",6463776694
PS 450,10016,American ,2125327474
YONEKICHI,10003,Japanese,6466699785
Maman,10013,French,2122260700
J & J HOT FOOD AND SALAD,11219,Delicatessen,7184381176
J & J HOT FOOD AND SALAD,11219,Delicatessen,7184381176
J & J HOT FOOD AND SALAD,11219,Delicatessen,7184381176
CHA-AN TEAHOUSE,10003,Japanese,2122288030
EATERY RESTAURANT,10019,American ,2127657080
EATERY RESTAURANT,10019,American ,2127657080
J & C SEAFOOD,11412,Seafood,7184546247
TOASTIES,10038,American ,2125131730
ORO BAR RESTAURANT,10459,Spanish,3477264534
MARINA DELRAY,10465,American ,7189316500
POMMES FRITES,10003,American ,2126761234
JG MELON RESTAURANT,10021,American ,2127440585
MARINA DELRAY,10465,American ,7189316500
SABORES RESTAURANT,10451,Spanish,7184011653
MARINA DELRAY,10465,American ,7189316500
SHOW PALACE,11101,American ,7189376969
STUDIO 151,10009,Other,6469432816
LOPEZ'S PIZZERIA AND COFFEE SHOP,10455,Pizza/Italian,7189919667
TAQUERIA RESTAURANTE MI BARIO,11218,Mexican,7189729669
Vivire,11104,American ,3476171933
TONIC EAST,10016,American ,2126837090
MANGOS,11372,Mexican,3478585474
LA VILLA CAFE,11205,Spanish,7184227892
JG MELON RESTAURANT,10021,American ,2127440585
JG MELON RESTAURANT,10021,American ,2127440585
LOPEZ'S PIZZERIA AND COFFEE SHOP,10455,Pizza/Italian,7189919667
MARINA DELRAY,10465,American ,7189316500
LA VILLA CAFE,11205,Spanish,7184227892
Yorganic/Caffe Bene,10018,Café/Coffee/Tea,7184405850
The Milton,10128,Other,2123691900
TAQUERIA RESTAURANTE MI BARIO,11218,Mexican,7189729669
FAT CATS PIZZA,11106,Pizza,7182556445
SNACK,10012,Greek,2129251040
SNACK,10012,Greek,2129251040
KENNEDY FRIED CHICKEN,10040,Chicken,2127814739
PS 450,10016,American ,2125327474
LE GLACIER,10005,American ,3474279132
IGGY'S,10021,American ,2123273043
GEORGE'S,10006,American ,2122698026
GEORGE'S,10006,American ,2122698026
MILOSUN SUSHI,10003,Asian,6465592930
HARLEM ORIGINAL FISH AND CHIPS,10026,American ,2122220650
KENNEDY FRIED CHICKEN,10040,Chicken,2127814739
HARLEM  GOURMET CAFE,10035,American ,2128286840
BOOM SUSHI,10011,Japanese,6468386494
Subway,10023,Sandwiches,6465971577
ORO BAR RESTAURANT,10459,Spanish,3477264534
SKYTOWN,11206,American ,3474353252
DUMPLING MAN,10009,Chinese,2125052121
PEOPLES CHOICE KITCHEN,10039,Caribbean,2122813830
CHEESE GRILLE,10002,Sandwiches/Salads/Mixed Buffet,2124609383
CHIPOTLE MEXICAN GRILL,10036,Mexican,2123912081
2 BROS PIZZA,10035,Pizza/Italian,2122473800
HARLEM KARIBE TAKE OUT,10027,Caribbean,2122835335
U.S. KENNEDY FRIED CHICKEN PIZZA,10459,Chicken,3472697870
FANTASTIC BAGELS,11209,Delicatessen,7182380733
IGGY'S,10021,American ,2123273043
HAI CHENG RESTAURANT,10026,American ,3479231028
ALE HOUSE CITY ISLAND,10464,American ,7188851813
GOTTINO,10011,Italian,2126332590
CHIAN FEDERATION,11103,Greek,7182042550
DIRTY BIRD TO GO,10007,Chicken,2129643284
AROMA,10003,Italian,2123750100
BEL AMI,10065,French,2127371313
JOHN'S PIZZA,11420,Pizza,7188436121
AMMOS ESTIATORIO,10017,Greek,2129229999
LE GLACIER,10005,American ,3474279132
AMMOS ESTIATORIO,10017,Greek,2129229999
MUSCLE MAKER GRILL,10007,American ,2128621813
CAFFE BENE,10032,American ,2122838886
SNACK,10012,Greek,2129251040
SHOW PALACE,11101,American ,7189376969
MANGOS,11372,Mexican,3478585474
SHOW PALACE,11101,American ,7189376969
K-LOUNGE,10451,Spanish,7182926720
HOP WON EXPRESS,10017,Chinese,2126614280
HOP WON EXPRESS,10017,Chinese,2126614280
AGODA ASIAN CUISINE,10007,Chinese/Japanese,2126191655
AGODA ASIAN CUISINE,10007,Chinese/Japanese,2126191655
TACOS MEXICO,11368,Mexican,7185050332
SHOW PALACE,11101,American ,7189376969
CRESCENT GRILL,11101,American ,7187294040
LABADEE MANOIR,11428,Caribbean,7184644400
DUMPLING MAN,10009,Chinese,2125052121
CHIAN FEDERATION,11103,Greek,7182042550
DUMPLING MAN,10009,Chinese,2125052121
OPAI THAI,10025,Thai,2128668989
ORO BAR RESTAURANT,10459,Spanish,3477264534
VITO'S PIZZERIA,10465,Pizza,3476913606
EL GRAN VALLE IV RESTAURANT,10032,Spanish,2123687100
FOURTH STREET CENTRAL,10003,Café/Coffee/Tea,2125390115
RUNNING COOL II RESTAURANT,10451,Caribbean,3475902530
GOLDEN KRUST,10467,Caribbean,7187981900
GOLDEN KRUST,10467,Caribbean,7187981900
GOLDEN KRUST,10467,Caribbean,7187981900
NEW PANDA RESTAURANT,10036,Chinese,2126950836
